Ruta,X,Y,Direccion
18,21.844823,-102.252624,1
18,21.849836,-102.251441,1
18,21.850132,-102.253368,1
18,21.851442,-102.255628,1
18,21.851822,-102.256068,1
18,21.855145,-102.256964,1
18,21.852146,-102.269314,1
18,21.860004,-102.269466,1
18,21.860219,-102.272861,1
18,21.861324,-102.272904,1
18,21.862101,-102.273279,1
18,21.862987,-102.273945,1
18,21.864969,-102.276241,1
18,21.865944,-102.277013,1
18,21.868324,-102.276927,1
18,21.866711,-102.281401,1
18,21.867036,-102.281801,1
18,21.869919,-102.281897,1
18,21.873583,-102.281618,1
18,21.878322,-102.281296,1
18,21.878581,-102.281146,1
18,21.878845,-102.281281,1
18,21.878987,-102.281548,1
18,21.881154,-102.282161,1
18,21.882717,-102.282314,1
18,21.885056,-102.282837,1
18,21.898422,-102.287328,1
18,21.901801,-102.288474,1
18,21.907623,-102.290299,1
18,21.910131,-102.291103,1
18,21.912341,-102.291929,1
18,21.912729,-102.292123,1
18,21.915148,-102.291919,1
18,21.915526,-102.292112,1
18,21.915775,-102.297519,1
18,21.916064,-102.303871,1
18,21.916432,-102.312067,1
18,21.916571,-102.313687,1
18,21.916342,-102.316466,1
18,21.916193,-102.317904,1
18,21.915486,-102.318783,1
18,21.914491,-102.319094,1
18,21.913715,-102.318891,1
18,21.910838,-102.317775,1
18,21.909554,-102.317442,1
18,21.909325,-102.310898,1
18,21.909444,-102.310683,1
18,21.915947,-102.313424,1
18,21.916346,-102.313145,2
18,21.915848,-102.303897,2
18,21.915636,-102.297399,2
18,21.915439,-102.292513,2
18,21.915045,-102.292149,2
18,21.912751,-102.292119,2
18,21.910245,-102.292271,2
18,21.907683,-102.292392,2
18,21.907623,-102.290299,2
18,21.901801,-102.288474,2
18,21.898422,-102.287328,2
18,21.885056,-102.282837,2
18,21.882717,-102.282314,2
18,21.881154,-102.282161,2
18,21.878987,-102.281548,2
18,21.878845,-102.281281,2
18,21.878581,-102.281146,2
18,21.878322,-102.281296,2
18,21.873583,-102.281618,2
18,21.869919,-102.281897,2
18,21.867036,-102.281801,2
18,21.866711,-102.281401,2
18,21.868324,-102.276927,2
18,21.865944,-102.277013,2
18,21.864969,-102.276241,2
18,21.862987,-102.273945,2
18,21.862101,-102.273279,2
18,21.861324,-102.272904,2
18,21.860209,-102.272958,2
18,21.860219,-102.275221,2
18,21.859973,-102.275078,2
18,21.859909,-102.272985,2
18,21.859921,-102.269593,2
18,21.859795,-102.269498,2
18,21.852146,-102.269314,2
18,21.855145,-102.256964,2
18,21.851822,-102.256068,2
18,21.851442,-102.255628,2
18,21.850132,-102.253368,2
18,21.849836,-102.251441,2
18,21.844823,-102.252624,2
19,21.880853,-102.235565,1
19,21.880121,-102.235352,1
19,21.878685,-102.235534,1
19,21.878262,-102.235352,1
19,21.877671,-102.236111,1
19,21.877164,-102.238781,1
19,21.874489,-102.242756,1
19,21.873419,-102.245912,1
19,21.872968,-102.247399,1
19,21.873813,-102.247703,1
19,21.875559,-102.248461,1
19,21.877417,-102.250768,1
19,21.879896,-102.251617,1
19,21.883275,-102.256209,1
19,21.883877,-102.256641,1
19,21.884705,-102.256668,1
19,21.885156,-102.256398,1
19,21.885834,-102.255884,1
19,21.886411,-102.255803,1
19,21.890534,-102.257448,1
19,21.889943,-102.259244,1
19,21.888108,-102.261631,1
19,21.885513,-102.265428,1
19,21.884859,-102.268383,1
19,21.884585,-102.270088,1
19,21.883952,-102.274407,1
19,21.883678,-102.276499,1
19,21.883136,-102.278827,1
19,21.883108,-102.279181,1
19,21.882623,-102.282319,1
19,21.882433,-102.284024,1
19,21.882528,-102.284126,1
19,21.882613,-102.284308,1
19,21.884089,-102.285399,1
19,21.883636,-102.287104,1
19,21.886515,-102.288104,1
19,21.889711,-102.289162,1
19,21.885556,-102.294458,1
19,21.884891,-102.295663,1
19,21.884511,-102.296504,1
19,21.885429,-102.296743,1
19,21.885956,-102.298494,1
19,21.884722,-102.298835,1
19,21.884047,-102.298596,1
19,21.883309,-102.298937,1
19,21.883805,-102.300437,1
19,21.884047,-102.301369,1
19,21.884186,-102.301559,1
19,21.885102,-102.308983,1
19,21.885553,-102.312417,1
19,21.886106,-102.317181,1
19,21.887797,-102.316874,1
19,21.892562,-102.316903,1
19,21.892602,-102.317225,1
19,21.892572,-102.321227,1
19,21.898486,-102.321334,1
19,21.897838,-102.319274,1
19,21.897749,-102.318652,1
19,21.897948,-102.318041,1
19,21.898555,-102.317043,1
19,21.902587,-102.316238,1
19,21.903503,-102.316131,1
19,21.909495,-102.317375,1
19,21.909448,-102.314004,1
19,21.909465,-102.315303,2
19,21.909495,-102.317375,2
19,21.903503,-102.316131,2
19,21.902587,-102.316238,2
19,21.898555,-102.317043,2
19,21.897948,-102.318041,2
19,21.897749,-102.318652,2
19,21.897838,-102.319274,2
19,21.897758,-102.319317,2
19,21.891267,-102.319153,2
19,21.891386,-102.317106,2
19,21.888074,-102.317003,2
