Ruta,X,Y,Direccion
27,21.868429,-102.232917,1
27,21.869087,-102.233169,1
27,21.869973,-102.233384,1
27,21.870769,-102.233609,1
27,21.871476,-102.233802,1
27,21.872193,-102.234274,1
27,21.872858,-102.234728,1
27,21.873645,-102.235212,1
27,21.874249,-102.235365,1
27,21.873785,-102.236389,1
27,21.873715,-102.236807,1
27,21.873506,-102.237644,1
27,21.873407,-102.238084,1
27,21.872655, -102.237924,1
27,21.871922,-102.237704,1
27,21.871162,-102.237507,1
27,21.870444,-102.237287,1
27,21.869726,-102.237113,1
27,21.868994,-102.236923,1
27,21.868219,-102.236688,1
27,21.867466,-102.236506,1
27,21.866438,-102.236195,1
27,21.865656,-102.235982,1
27,21.865529,-102.235893,1
27,21.865213,-102.235823,1
27,21.865422,-102.235638,1
27,21.865357,-102.235428,1
27,21.864913,-102.235453,1
27,21.864759,-102.235504,1
27,21.865085,-102.236487,1
27,21.865482,-102.237731,1
27,21.865813,-102.238745,1
27,21.866038,-102.239357,1
27,21.866245,-102.239957,1
27,21.866748,-102.241405,1
27,21.866962,-102.242062,1
27,21.867329,-102.243121,1
27,21.867672,-102.244034,1
27,21.867802,-102.244416,1
27,21.867862,-102.244621,1
27,21.868086,-102.245303,1
27,21.868412,-102.246062,1
27,21.868755,-102.246643,1
27,21.869413,-102.247766,1
27,21.869815,-102.248403,1
27,21.870549,-102.249635,1
27,21.871254,-102.250789,1
27,21.871443,-102.251108,1
27,21.871603,-102.251415,1
27,21.871787,-102.251695,1
27,21.872385,-102.252684,1
27,21.872852,-102.253348,1
27,21.873539,-102.254298,1
27,21.874001,-102.254955,1
27,21.874634,-102.255759,1
27,21.875297,-102.256716,1
27,21.875801,-102.257443,1
27,21.876487,-102.258394,1
27,21.877553,-102.259867,1
27,21.878275,-102.260831,1
27,21.879098,-102.261972,1
27,21.880128,-102.263421,1
27,21.880892,-102.264511,1
27,21.881484,-102.265443,1
27,21.882105,-102.266585,1
27,21.882762,-102.267644,1
27,21.883354,-102.268664,1
27,21.883988,-102.269794,1
27,21.884177,-102.269934,1
27,21.884307,-102.269979,1
27,21.884455,-102.270062,1
27,21.884556,-102.270138,1
27,21.884396,-102.271203,1
27,21.884306,-102.271987,1
27,21.884237,-102.272395,1
27,21.884194, -102.272569,1
27,21.884187,-102.272713,1
27,21.884173,-102.272888,1
27,21.884068,-102.273684,1
27,21.883997,-102.274246,1
27,21.883969,-102.274458,1
27,21.883786,-102.275718,1
27,21.883589,-102.276878,1
27,21.883441,-102.277584,1
27,21.883322,-102.277895,1
27,21.883251,-102.278077,1
27,21.883167,-102.278585,1
27,21.883138,-102.278843,1
27,21.883103,-102.279207,1
27,21.882984,-102.280216,1
27,21.882911,-102.280743,1
27,21.883035,-102.280813,1
27,21.883483,-102.281162,1
27,21.884285,-102.281441,1
27,21.885106,-102.281746,1
27,21.886102,-102.282009,1
27,21.887087,-102.282261,1
27,21.889103,-102.282739,1
27,21.889153,-102.282835,1
27,21.888874,-102.283892,1
27,21.888824,-102.284064,1
27,21.888795,-102.284155,1
