Ruta,X,Y,Direccion
11,21.831917,-102.293576,1
11,21.836545,-102.293595,1
11,21.841365,-102.293616,1
11,21.841967,-102.301381,1
11,21.845191,-102.301471,1
11,21.849612,-102.301038,1
11,21.851407,-102.309429,1
11,21.852452,-102.312685,1
11,21.853072,-102.314688,1
11,21.848776,-102.316918,1
11,21.848607,-102.317009,1
11,21.849072,-102.319224,1
11,21.854254,-102.317009,1
11,21.859226,-102.313929,1
11,21.867886,-102.308861,1
11,21.866872,-102.302913,1
11,21.865393,-102.294401,1
11,21.865661,-102.294174,1
11,21.870786,-102.295069,1
11,21.871659,-102.295084,1
11,21.875644,-102.295008,1
11,21.878427,-102.295915,1
11,21.878799,-102.296053,1
11,21.881059,-102.289629,1
11,21.885245,-102.291632,1
11,21.885351,-102.291477,1
11,21.887132,-102.292508,1
11,21.890088,-102.295087,1
11,21.891918,-102.296316,1
11,21.897944,-102.298258,1
11,21.896325,-102.304206,1
11,21.897325,-102.304692,1
11,21.902731,-102.307529,1
11,21.909319,-102.310624,1
11,21.916456,-102.313644,1
11,21.924324,-102.317422,1
11,21.931685,-102.321169,1
11,21.933839,-102.323005,1
11,21.942832,-102.327375,1
11,21.952909,-102.335523,1
11,21.958749,-102.342578,1
11,21.959593,-102.343034,1
11,21.960381,-102.343079,1
11,21.966347,-102.340651,1
11,21.967389,-102.340044,1
11,21.968078,-102.341501,1
11,21.967923,-102.341607,2
11,21.961615,-102.343622,2
11,21.962092,-102.345399,2
11,21.961389,-102.345661,2
11,21.960929,-102.343901,2
11,21.959732,-102.343667,2
11,21.958912,-102.342855,2
11,21.958749,-102.342578,2
11,21.952909,-102.335523,2
11,21.942832,-102.327375,2
11,21.933839,-102.323005,2
11,21.931685,-102.321169,2
11,21.924324,-102.317422,2
11,21.916456,-102.313644,2
11,21.909319,-102.310624,2
11,21.902731,-102.307529,2
11,21.897325,-102.304692,2
11,21.896325,-102.304206,2
11,21.898642,-102.295833,2
11,21.891454,-102.294975,2
11,21.889911,-102.293333,2
11,21.886756,-102.296337,2
11,21.886567,-102.296317,2
11,21.884055,-102.295315,2
11,21.883736,-102.295283,2
11,21.881526,-102.294618,2
11,21.881287,-102.295562,2
11,21.881317,-102.295745,2
11,21.880632,-102.297658,2
11,21.875316,-102.296287,2
11,21.872729,-102.297658,2
11,21.871105,-102.297721,2
11,21.871423,-102.295303,2
11,21.870786,-102.295069,2
11,21.865661,-102.294174,2
11,21.865393,-102.294401,2
11,21.866872,-102.302913,2
11,21.867886,-102.308861,2
11,21.859226,-102.313929,2
11,21.854254,-102.317009,2
11,21.849072,-102.319224,2
11,21.848607,-102.317009,2
11,21.847965,-102.314497,2
11,21.852319,-102.312286,2
11,21.851407,-102.309429,2
11,21.849612,-102.301038,2
11,21.845191,-102.301471,2
11,21.841967,-102.301381,2
11,21.841365,-102.293616,2
11,21.836545,-102.293595,2
11,21.831917,-102.293576,2
12,21.851684,-102.318127,1
12,21.854213,-102.317063,1
12,21.859161,-102.313914,1
12,21.867863,-102.308872,1
12,21.865347,-102.294306,1
12,21.865769,-102.294215,1
12,21.871416,-102.295171,1
12,21.873049,-102.295049,1
12,21.874218,-102.297553,1
12,21.874373,-102.299874,1
12,21.874105,-102.300436,1
12,21.873964,-102.300663,1
12,21.874274,-102.300769,1
12,21.877189,-102.301164,1
12,21.879061,-102.292986,1
12,21.879367,-102.288257,1
12,21.878592,-102.281535,1
12,21.878452,-102.281368,1
12,21.873552,-102.281611,1
12,21.873608,-102.274905,1
12,21.872341,-102.274935,1
12,21.871792,-102.274965,1
12,21.869792,-102.276118,1
12,21.869694,-102.276058,1
12,21.870665,-102.273342,1
12,21.871285,-102.272629,1
12,21.871665,-102.272431,1
12,21.872369,-102.272295,1
12,21.872594,-102.272249,1
12,21.873608,-102.272234,1
12,21.873668,-102.270815,1
12,21.878019,-102.271528,1
12,21.877666,-102.264689,1
12,21.877976,-102.263673,1
12,21.879046,-102.262037,1
12,21.874433,-102.255851,1
12,21.871465,-102.251401,1
12,21.868302,-102.246034,1
12,21.867469,-102.243659,1
12,21.866997,-102.243168,1
12,21.866802,-102.242519,1
12,21.866493,-102.242326,1
12,21.863841,-102.243361,1
12,21.860084,-102.246014,1
12,21.862151,-102.247703,1
12,21.862422,-102.248204,1
12,21.865324,-102.246786,1
12,21.866291,-102.245348,1
12,21.867026,-102.244764,1
12,21.866813,-102.244493,2
12,21.865536,-102.242679,2
12,21.863776,-102.243388,2
12,21.860044,-102.246015,2
12,21.859678,-102.245752,2
12,21.862183,-102.243858,2
